timestamp,vehicle_id,route_id,warehouse,cargo_weight_kg,max_capacity_kg,fuel_consumed_liters,idle_time_hours,distance_km,delivery_status,sla_met,dock_slot
2026-07-01 05:00:00,TRK-001,Rute-A,Gudang West (Tangerang),350.0,1200,9.8,0.3,8.0,DELIVERED,YES,DOCK-01
2026-07-02 09:13:00,TRK-008,Rute-C,Petamburan Hub,350.7,1200,10.21,0.4,8.6,IN_TRANSIT,YES,DOCK-02
2026-07-03 13:26:00,TRK-015,Rute-E,Bogor Transit Hub,351.4,1200,10.62,0.6,9.1,IDLE_DOCK,YES,DOCK-03
2026-07-04 17:39:00,TRK-022,Rute-G,Central Hub (Jakarta),352.1,1200,11.03,0.7,9.7,LOADED,YES,DOCK-04
2026-07-05 07:52:00,TRK-029,Rute-I,Bekasi Logistics Hub,352.8,1200,11.44,0.9,10.2,QUEUED,NO,DOCK-05
2026-07-06 11:05:00,TRK-036,Rute-K,Cikarang Industrial Hub,353.5,1200,11.85,1.0,10.8,DELIVERED,YES,DOCK-06
2026-07-07 15:18:00,TRK-043,Rute-M,Grogol Hub (Jakbar),354.2,1200,12.26,1.1,11.3,IN_TRANSIT,YES,DOCK-07
2026-07-08 05:31:00,TRK-050,Rute-O,Depok Hub,354.9,1200,12.67,1.3,11.9,IDLE_DOCK,YES,DOCK-08
2026-07-09 09:44:00,TRK-057,Rute-Q,Gudang West (Tangerang),355.6,1200,13.08,1.4,12.4,LOADED,YES,DOCK-09
2026-07-10 13:57:00,TRK-064,Rute-A,Petamburan Hub,356.3,1200,13.49,1.6,12.9,QUEUED,NO,DOCK-10
2026-07-11 17:10:00,TRK-071,Rute-C,Bogor Transit Hub,357.0,1200,13.9,1.7,13.5,DELIVERED,YES,DOCK-11
2026-07-12 07:23:00,TRK-078,Rute-E,Central Hub (Jakarta),357.7,1200,14.31,1.8,14.1,IN_TRANSIT,YES,DOCK-12
2026-07-13 11:36:00,TRK-085,Rute-G,Bekasi Logistics Hub,358.4,1200,14.72,2.0,14.6,IDLE_DOCK,YES,DOCK-01
2026-07-14 15:49:00,TRK-092,Rute-I,Cikarang Industrial Hub,359.1,1200,15.13,2.1,15.2,LOADED,YES,DOCK-02
2026-07-15 05:02:00,TRK-099,Rute-K,Grogol Hub (Jakbar),359.8,1200,15.54,2.3,15.7,QUEUED,NO,DOCK-03
2026-07-16 09:15:00,TRK-106,Rute-M,Depok Hub,360.5,1200,15.95,2.4,16.2,DELIVERED,YES,DOCK-04
2026-07-17 13:28:00,TRK-113,Rute-O,Gudang West (Tangerang),361.2,1200,16.36,2.5,16.8,IN_TRANSIT,YES,DOCK-05
2026-07-18 17:41:00,TRK-120,Rute-Q,Petamburan Hub,361.9,1200,16.77,2.7,17.4,IDLE_DOCK,YES,DOCK-06
2026-07-19 07:54:00,TRK-127,Rute-A,Bogor Transit Hub,362.6,1200,17.18,2.8,17.9,LOADED,YES,DOCK-07
2026-07-20 11:07:00,TRK-134,Rute-C,Central Hub (Jakarta),363.3,1200,17.59,3.0,18.5,QUEUED,NO,DOCK-08
2026-07-21 15:20:00,TRK-141,Rute-E,Bekasi Logistics Hub,364.0,1200,18.0,0.3,19.0,DELIVERED,YES,DOCK-09
2026-07-22 05:33:00,TRK-148,Rute-G,Cikarang Industrial Hub,364.7,1200,18.41,0.4,19.6,IN_TRANSIT,YES,DOCK-10
2026-07-23 09:46:00,TRK-155,Rute-I,Grogol Hub (Jakbar),365.4,1200,18.82,0.6,20.1,IDLE_DOCK,YES,DOCK-11
2026-07-24 13:59:00,TRK-162,Rute-K,Depok Hub,366.1,1200,19.23,0.7,20.6,LOADED,YES,DOCK-12
2026-07-25 17:12:00,TRK-169,Rute-M,Gudang West (Tangerang),366.8,1200,19.64,0.9,21.2,QUEUED,NO,DOCK-01
2026-07-26 07:25:00,TRK-176,Rute-O,Petamburan Hub,367.5,1200,20.05,1.0,21.8,DELIVERED,YES,DOCK-02
2026-07-27 11:38:00,TRK-003,Rute-Q,Bogor Transit Hub,368.2,1200,20.46,1.1,22.3,IN_TRANSIT,YES,DOCK-03
2026-07-28 15:51:00,TRK-010,Rute-A,Central Hub (Jakarta),368.9,1200,20.87,1.3,22.9,IDLE_DOCK,YES,DOCK-04
2026-07-29 05:04:00,TRK-017,Rute-C,Bekasi Logistics Hub,369.6,1200,21.28,1.4,23.4,LOADED,YES,DOCK-05
2026-07-30 09:17:00,TRK-024,Rute-E,Cikarang Industrial Hub,370.3,1200,21.69,1.6,24.0,QUEUED,NO,DOCK-06
2026-07-31 13:30:00,TRK-031,Rute-G,Grogol Hub (Jakbar),371.0,1200,22.1,1.7,24.5,DELIVERED,YES,DOCK-07
2026-07-01 17:43:00,TRK-038,Rute-I,Depok Hub,371.7,1200,22.51,1.8,25.1,IN_TRANSIT,YES,DOCK-08
2026-07-02 07:56:00,TRK-045,Rute-K,Gudang West (Tangerang),372.4,1200,22.92,2.0,25.6,IDLE_DOCK,YES,DOCK-09
2026-07-03 11:09:00,TRK-052,Rute-M,Petamburan Hub,373.1,1200,23.33,2.1,26.2,LOADED,YES,DOCK-10
2026-07-04 15:22:00,TRK-059,Rute-O,Bogor Transit Hub,373.8,1200,23.74,2.3,26.7,QUEUED,NO,DOCK-11
2026-07-05 05:35:00,TRK-066,Rute-Q,Central Hub (Jakarta),374.5,1200,24.15,2.4,27.2,DELIVERED,YES,DOCK-12
2026-07-06 09:48:00,TRK-073,Rute-A,Bekasi Logistics Hub,375.2,1200,24.56,2.5,27.8,IN_TRANSIT,YES,DOCK-01
2026-07-07 13:01:00,TRK-080,Rute-C,Cikarang Industrial Hub,375.9,1200,24.97,2.7,28.4,IDLE_DOCK,YES,DOCK-02
2026-07-08 17:14:00,TRK-087,Rute-E,Grogol Hub (Jakbar),376.6,1200,25.38,2.8,28.9,LOADED,YES,DOCK-03
2026-07-09 07:27:00,TRK-094,Rute-G,Depok Hub,377.3,1200,25.79,3.0,29.5,QUEUED,NO,DOCK-04
2026-07-10 11:40:00,TRK-101,Rute-I,Gudang West (Tangerang),378.0,1200,9.8,0.3,30.0,DELIVERED,YES,DOCK-05
